Core Based Statistical Area (CBSA),2010 Population,CBSA Code,CO           8-hr (ppm),Pb          3-mo (µg/m3),NO2      AM (ppb),NO2          1-hr (ppb),O3            8-hr (ppm),PM10         24-hr (µg/m3) ,PM2.5         Wtd AM (µg/m3) ,PM2.5         24-hr (µg/m3) ,SO2         1-hr (ppb)
"Enid, OK",60580,21420,ND,ND,ND,ND,ND,ND,IN,IN,38
"Erie, PA",280566,21500,1,ND,5,34,0.059,32,7.1,17,ND
"Española, NM",40246,21580,ND,ND,ND,ND,0.062,ND,ND,ND,ND
"Eugene, OR",351715,21660,ND,ND,ND,ND,0.059,350,23.3,247,ND
"Eureka-Arcata-Fortuna, CA",134623,21700,1,ND,2,15,0.035,53,6.8,20,1
"Evanston, WY",21118,21740,ND,ND,ND,ND,ND,60,ND,ND,ND
"Evansville, IN-KY",311552,21780,1,ND,5,30,0.068,81,9.8,23,73
"Fairbanks, AK",97581,21820,3,ND,ND,ND,0.055,171,12.7,84,33
"Fairmont, WV",56418,21900,ND,ND,ND,ND,ND,ND,7.1,15,ND
"Fallon, NV",24877,21980,ND,ND,ND,ND,0.059,ND,ND,ND,ND
"Fargo, ND-MN",208777,22020,ND,ND,4,32,0.055,ND,7.6,22,4
"Farmington, NM",130044,22140,ND,ND,9,32,0.069,270,IN,IN,5
"Fayetteville, NC",366383,22180,ND,ND,ND,ND,0.068,40,7.7,15,IN
"Fayetteville-Springdale-Rogers, AR-MO",463204,22220,ND,ND,ND,ND,0.067,37,7.3,20,ND
"Fergus Falls, MN",57303,22260,ND,ND,ND,ND,ND,ND,IN,IN,ND
"Fernley, NV",51980,22280,ND,ND,ND,ND,0.061,ND,ND,ND,ND
"Findlay, OH",74782,22300,ND,ND,ND,ND,ND,ND,ND,ND,13
"Flagstaff, AZ",134421,22380,ND,ND,ND,ND,0.066,ND,IN,IN,ND
"Flint, MI",425790,22420,ND,ND,ND,ND,0.067,ND,8.2,20,ND
"Florence, SC",205566,22500,ND,0,ND,ND,0.061,ND,8.3,15,ND
"Florence-Muscle Shoals, AL",147137,22520,ND,ND,ND,ND,ND,ND,IN,IN,ND
"Fond du Lac, WI",101633,22540,ND,ND,ND,ND,0.064,ND,ND,ND,ND
"Fort Collins, CO",299630,22660,1,ND,ND,ND,0.073,ND,6.5,17,ND
"Fort Madison-Keokuk, IA-IL-MO",62105,22800,ND,ND,ND,ND,ND,ND,IN,IN,ND
"Fort Payne, AL",14101,22840,ND,ND,ND,ND,0.061,ND,6.9,14,ND
"Fort Smith, AR-OK",280467,22900,ND,ND,5,IN,0.06,ND,7.5,22,ND
"Fort Wayne, IN",416257,23060,ND,ND,ND,ND,0.069,ND,8.5,23,ND
"Frankfort, KY",70706,23180,ND,ND,ND,ND,ND,ND,IN,IN,ND
"Fresno, CA",930450,23420,2,ND,20,53,0.081,172,14.8,43,IN
"Gadsden, AL",104430,23460,ND,ND,ND,ND,0.062,ND,8.2,18,ND
"Gainesville, FL",264275,23540,ND,ND,ND,ND,0.058,ND,7,13,ND
"Gainesville, GA",179684,23580,ND,ND,ND,ND,ND,ND,8.8,18,ND
"Gardnerville Ranchos, NV",46997,23820,ND,ND,ND,ND,ND,ND,6.1,27,ND
"Georgetown, SC",60158,23860,ND,ND,ND,ND,ND,ND,IN,IN,ND
"Gettysburg, PA",101407,23900,0,ND,3,15,0.061,ND,8.4,20,IN
"Gillette, WY",46133,23940,ND,ND,1,6,0.061,260,6,22,ND
"Glenwood Springs, CO",73537,24060,ND,ND,ND,ND,0.059,55,IN,IN,ND
"Goldsboro, NC",122623,24140,ND,ND,ND,ND,ND,ND,IN,IN,ND
"Grand Forks, ND-MN",98461,24220,ND,ND,ND,ND,ND,ND,IN,IN,ND
"Grand Island, NE",81850,24260,ND,ND,ND,ND,ND,ND,5.7,16,ND
"Grand Junction, CO",146723,24300,ND,ND,ND,ND,0.062,72,5.2,15,ND
"Grand Rapids-Wyoming, MI",988938,24340,1,ND,7,36,0.071,53,9.4,25,3
"Grants Pass, OR",82713,24420,ND,ND,ND,ND,ND,ND,9.6,28,ND
"Great Falls, MT",81327,24500,ND,ND,ND,ND,ND,ND,IN,IN,ND
"Greeley, CO",252825,24540,1,ND,8,47,0.073,ND,6.8,22,ND
"Green Bay, WI",306241,24580,ND,ND,ND,ND,0.072,ND,7.4,20,6
"Greenfield Town, MA",71372,24640,ND,ND,ND,ND,0.06,ND,7.2,19,ND
"Greensboro-High Point, NC",723801,24660,ND,ND,ND,ND,0.063,24,8.3,16,ND
"Greenville, NC",168148,24780,ND,ND,ND,ND,0.06,ND,6,12,ND
"Greenville-Anderson-Mauldin, SC",824112,24860,ND,ND,7,40,0.066,36,8.4,19,2
"Greenwood, SC",95078,24940,ND,ND,ND,ND,ND,ND,IN,IN,ND
"Grenada, MS",21906,24980,ND,ND,ND,ND,ND,ND,IN,IN,ND
"Guayama, PR",84214,25020,ND,ND,ND,ND,ND,45,IN,IN,IN
"Gulfport-Biloxi-Pascagoula, MS",370702,25060,ND,ND,3,30,0.065,ND,8.9,20,5
"Hagerstown-Martinsburg, MD-WV",251599,25180,ND,ND,ND,ND,0.061,ND,8.2,20,ND
"Hammond, LA",121097,25220,ND,ND,ND,ND,ND,ND,7.7,17,ND
"Hanford-Corcoran, CA",152982,25260,ND,ND,8,41,0.075,247,14.7,43,ND
"Harrisburg-Carlisle, PA",549475,25420,ND,ND,ND,ND,0.063,36,9.8,25,ND
"Harrison, AR",45233,25460,ND,ND,ND,ND,0.064,ND,ND,ND,ND
"Harrisonburg, VA",125228,25500,ND,ND,8,36,0.056,ND,6.5,13,2
"Hartford-West Hartford-East Hartford, CT",1212381,25540,1,ND,13,42,0.074,46,7.2,18,ND
"Hattiesburg, MS",142842,25620,ND,ND,ND,ND,ND,ND,10.2,23,ND
"Helena, MT",74801,25740,1,ND,ND,ND,0.057,ND,8.4,34,1
"Helena-West Helena, AR",21757,25760,ND,ND,ND,ND,ND,ND,IN,IN,ND
"Hermiston-Pendleton, OR",87062,25840,ND,ND,ND,ND,0.064,ND,IN,IN,ND
"Hickory-Lenoir-Morganton, NC",365497,25860,ND,ND,ND,ND,0.06,24,7.9,17,2
"Hilo, HI",185079,25900,ND,ND,ND,ND,ND,ND,4.7,9,229
"Hilton Head Island-Bluffton-Beaufort, SC",187010,25940,ND,ND,ND,ND,ND,ND,IN,IN,ND
"Hobbs, NM",64727,26020,ND,ND,4,32,0.072,ND,6.8,22,ND
"Holland, MI",111408,26090,ND,ND,ND,ND,0.073,ND,6.7,18,ND
"Homosassa Springs, FL",141236,26140,ND,ND,ND,ND,ND,ND,IN,IN,14
"Hot Springs, AR",96024,26300,ND,ND,ND,ND,ND,ND,IN,IN,ND
